scenario,region,variables,unit,2019,2050
Extensive reindustrialization - M0,FR,Production|Hydrogen|Others|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Hydrogen|Others|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Hydrogen|Others|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M0,FR,Production|Hydrogen|Others|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M1,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,0.9975,0.9975
Extensive reindustrialization - M1,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,64
Extensive reindustrialization - M1,FR,Production|Electricity|Low to medium,TWh/year,1,1
Extensive reindustrialization - M1,FR,Production|Electricity|Medium to high,TWh/year,1,1
Extensive reindustrialization - M1,FR,Production|Electricity|Import,TWh/year,37.36904145,37.36904145
Extensive reindustrialization - M1,FR,Consumption|Electricity|Export,TWh/year,58.06904145,58.06904145
Extensive reindustrialization - M1,FR,Production|Electricity|Total without production from flexibility,TWh/year,821.4,821.4
Extensive reindustrialization - M1,FR,Production|Electricity|Conventional|Coal,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Electricity|Conventional|Natural gas,TWh/year,0.464652397,0.464652397
Extensive reindustrialization - M1,FR,Production|Electricity|Conventional|Waste,TWh/year,1.672748631,1.672748631
Extensive reindustrialization - M1,FR,Production|Electricity|Hydro|Reservoir,TWh/year,9.337654579,9.337654579
Extensive reindustrialization - M1,FR,Production|Electricity|Run-of-river hydro,TWh/year,49.02268654,49.02268654
Extensive reindustrialization - M1,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,84.00915346,84.00915346
Extensive reindustrialization - M1,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Electricity|Renewable|Biomass,TWh/year,9.10718699,9.10718699
Extensive reindustrialization - M1,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,284.4601977,284.4601977
Extensive reindustrialization - M1,FR,Production|Electricity|Renewable|Sea,TWh/year,2.694983905,2.694983905
Extensive reindustrialization - M1,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,193.3883278,193.3883278
Extensive reindustrialization - M1,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,129.1733665,129.1733665
Extensive reindustrialization - M1,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,16.8,16.8
Extensive reindustrialization - M1,FR,Production|Electricity|Storage|Hydrogen,TWh/year,11.4,11.4
Extensive reindustrialization - M1,FR,Production|Gaseous fuel|Biomethane,%,100,100
Extensive reindustrialization - M1,FR,Production|Gaseous fuel|CNG,%,0,0
Extensive reindustrialization - M1,FR,Production|Gaseous fuel|LNG,%,0,0
Extensive reindustrialization - M1,FR,Production|Gaseous fuel|Low to high,%,1,1
Extensive reindustrialization - M1,FR,Production|Liquid fuel|Diesel|Biodiesel,%,100,100
Extensive reindustrialization - M1,FR,Production|Liquid fuel|Diesel|Diesel,%,0,0
Extensive reindustrialization - M1,FR,Production|Liquid fuel|Petrol|Bioethanol,%,100,100
Extensive reindustrialization - M1,FR,Production|Liquid fuel|Petrol|Petrol,%,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Refineries|Electrolysis,TWh/year,0.9,0.9
Extensive reindustrialization - M1,FR,Production|Hydrogen|Refineries|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Refineries|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Refineries|Co-produced|Oil refining,TWh/year,1.9,1.9
Extensive reindustrialization - M1,FR,Production|Hydrogen|Refineries|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Refineries|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Refineries|Co-produced|Ammonia,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Ammonia|Electrolysis,TWh/year,4.9,4.9
Extensive reindustrialization - M1,FR,Production|Hydrogen|Ammonia|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Ammonia|Co-produced|Coking,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Ammonia|Co-produced|Oil refining,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Ammonia|Co-produced|Chlore,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Ammonia|Co-produced|Chemicals,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Ammonia|Co-produced|Ammonia,TWh/year,0.5,0.5
Extensive reindustrialization - M1,FR,Production|Hydrogen|Chemicals|Electrolysis,TWh/year,1,1
Extensive reindustrialization - M1,FR,Production|Hydrogen|Chemicals|Steam methane reforming,TWh/year,0,0
Extensive reindustrialization - M1,FR,Production|Hydrogen|Chemicals|Co-produced|Coking,TWh/year,0,0
