scenario;region;variables;unit;2019;2040
Extensive reindustrialization - M0;FR;Production|Hydrogen|Others|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M0;FR;Production|Hydrogen|Others|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M0;FR;Production|Hydrogen|Others|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M0;FR;Production|Hydrogen|Others|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M1;FR;Distribution losses|Gaseous fuel|Low to high;PJ/year;0.9975;0.9975
Extensive reindustrialization - M1;FR;Efficiency|Electricity|Hydrogen|Fuel cell;%;50;62
Extensive reindustrialization - M1;FR;Production|Electricity|Low to medium;TWh/year;1;1
Extensive reindustrialization - M1;FR;Production|Electricity|Medium to high;TWh/year;1;1
Extensive reindustrialization - M1;FR;Production|Electricity|Import;TWh/year;11.26444169;11.26444169
Extensive reindustrialization - M1;FR;Consumption|Electricity|Export;TWh/year;84.36444169;84.36444169
Extensive reindustrialization - M1;FR;Production|Electricity|Total without production from flexibility;TWh/year;719.5;719.5
Extensive reindustrialization - M1;FR;Production|Electricity|Conventional|Coal;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Electricity|Conventional|Fuel oil;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Electricity|Conventional|Natural gas;TWh/year;3.97235582;3.97235582
Extensive reindustrialization - M1;FR;Production|Electricity|Conventional|Waste;TWh/year;1.588942328;1.588942328
Extensive reindustrialization - M1;FR;Production|Electricity|Hydro|Reservoir;TWh/year;8.869829173;8.869829173
Extensive reindustrialization - M1;FR;Production|Electricity|Run-of-river hydro;TWh/year;46.56660316;46.56660316
Extensive reindustrialization - M1;FR;Production|Electricity|Nuclear|Evolutionary Power Reactor;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Electricity|Nuclear|Pressure water reactor;TWh/year;218.8326684;218.8326684
Extensive reindustrialization - M1;FR;Production|Electricity|Nuclear|Small Modular Reactor;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Electricity|Renewable|Biomass;TWh/year;8.65090823;8.65090823
Extensive reindustrialization - M1;FR;Production|Electricity|Renewable|Photovoltaic;TWh/year;155.7163481;155.7163481
Extensive reindustrialization - M1;FR;Production|Electricity|Renewable|Sea;TWh/year;1.235844033;1.235844033
Extensive reindustrialization - M1;FR;Production|Electricity|Renewable|Wind turbines|Offshore;TWh/year;98.69097348;98.69097348
Extensive reindustrialization - M1;FR;Production|Electricity|Renewable|Wind turbines|Onshore;TWh/year;91.01108556;91.01108556
Extensive reindustrialization - M1;FR;Production|Electricity|Storage|Hydro|Pumped storage;TWh/year;12.6;12.6
Extensive reindustrialization - M1;FR;Production|Electricity|Storage|Hydrogen;TWh/year;1.5;1.5
Extensive reindustrialization - M1;FR;Production|Gaseous fuel|Biomethane;%;54;54
Extensive reindustrialization - M1;FR;Production|Gaseous fuel|CNG;%;26.2;26.2
Extensive reindustrialization - M1;FR;Production|Gaseous fuel|LNG;%;19.8;19.8
Extensive reindustrialization - M1;FR;Production|Gaseous fuel|Low to high;%;1;1
Extensive reindustrialization - M1;FR;Production|Liquid fuel|Diesel|Biodiesel;%;56;56
Extensive reindustrialization - M1;FR;Production|Liquid fuel|Diesel|Diesel;%;44;44
Extensive reindustrialization - M1;FR;Production|Liquid fuel|Petrol|Bioethanol;%;56;56
Extensive reindustrialization - M1;FR;Production|Liquid fuel|Petrol|Petrol;%;44;44
Extensive reindustrialization - M1;FR;Production|Hydrogen|Refineries|Electrolysis;TWh/year;2.3;2.3
Extensive reindustrialization - M1;FR;Production|Hydrogen|Refineries|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Refineries|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Refineries|Co-produced|Oil refining;TWh/year;4.9;4.9
Extensive reindustrialization - M1;FR;Production|Hydrogen|Refineries|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Refineries|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Refineries|Co-produced|Ammonia;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Ammonia|Electrolysis;TWh/year;5.5;5.5
Extensive reindustrialization - M1;FR;Production|Hydrogen|Ammonia|Steam methane reforming;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Ammonia|Co-produced|Coking;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Ammonia|Co-produced|Oil refining;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Ammonia|Co-produced|Chlore;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Ammonia|Co-produced|Chemicals;TWh/year;0;0
Extensive reindustrialization - M1;FR;Production|Hydrogen|Ammonia|Co-produced|Ammonia;TWh/year;0.6;0.6
Extensive reindustrialization - M1;FR;Production|Hydrogen|Chemicals|Electrolysis;TWh/year;1;1
Extensive reindustrialization - M1;FR;Production|Hydrogen|Chemicals|Steam methane reforming;TWh/year;0;0
