scenario,region,variables,unit,2019,2030,2040,2050,2060
Extensive reindustrialization - N03,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Extensive reindustrialization - N03,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Extensive reindustrialization - N03,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Electrolysis,TWh/year,0,3.7,2.3,0.9,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Steam methane reforming,TWh/year,4.1,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Coking,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Oil refining,TWh/year,8.9,7.9,4.9,1.9,1.9
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Chlore,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Chemicals,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Refineries|Co-produced|Ammonia,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Electrolysis,TWh/year,0,5.9,5.5,4.9,4.9
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Steam methane reforming,TWh/year,7.2,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Coking,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Oil refining,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Chlore,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Chemicals,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Ammonia|Co-produced|Ammonia,TWh/year,0.7,0.6,0.6,0.5,0.5
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Electrolysis,TWh/year,0,1,1,1,1
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Steam methane reforming,TWh/year,1,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Coking,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Oil refining,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Chlore,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Chemicals,TWh/year,0.6,0.6,0.6,0.6,0.6
Extensive reindustrialization - N03,FR,Production|Hydrogen|Chemicals|Co-produced|Ammonia,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Steel|Electrolysis,TWh/year,0,1.5,2,5,5
Extensive reindustrialization - N03,FR,Production|Hydrogen|Steel|Steam methane reforming,TWh/year,1,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Steel|Co-produced|Coking,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Steel|Co-produced|Oil refining,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Steel|Co-produced|Chlore,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Steel|Co-produced|Chemicals,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Steel|Co-produced|Ammonia,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Others|Electrolysis,TWh/year,0,0.3,0.3,0.3,0.3
Extensive reindustrialization - N03,FR,Production|Hydrogen|Others|Steam methane reforming,TWh/year,0.3,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Others|Co-produced|Coking,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Others|Co-produced|Oil refining,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Others|Co-produced|Chlore,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Others|Co-produced|Chemicals,TWh/year,0,0,0,0,0
Extensive reindustrialization - N03,FR,Production|Hydrogen|Others|Co-produced|Ammonia,TWh/year,0,0,0,0,0
Extensive reindustrialization - N1,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Extensive reindustrialization - N1,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Extensive reindustrialization - N1,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Extensive reindustrialization - N1,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Extensive reindustrialization - N1,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Extensive reindustrialization - N1,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Extensive reindustrialization - N1,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,6.908296943,31.97050243,61.08330632
Extensive reindustrialization - N1,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,74.70829694,49.87050243,95.28330632
Extensive reindustrialization - N1,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,619.15,705.4,791.2,809.1
Extensive reindustrialization - N1,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.698825193,0,0,0
Extensive reindustrialization - N1,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,1.004561215,0,0,0
Extensive reindustrialization - N1,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,18.78092705,3.933999849,0.37478741,0
Extensive reindustrialization - N1,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.747062982,1.609363575,1.686543346,1.58802379
Extensive reindustrialization - N1,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.162278251,8.98382511,9.39966825,8.850585924
Extensive reindustrialization - N1,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,42.85196082,47.16508183,49.34825831,46.4655761
Extensive reindustrialization - N1,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,18.78092705,38.44590761,83.48389564,111.7792301
Extensive reindustrialization - N1,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,275.4681557,225.0426732,86.10740752,8.998801478
Extensive reindustrialization - N1,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Extensive reindustrialization - N1,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.516932036,8.762090573,9.182291552,8.645907302
Extensive reindustrialization - N1,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,53.76586326,99.69113254,166.2182165,176.4470878
Extensive reindustrialization - N1,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Extensive reindustrialization - N1,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,51.18894537,104.7874505,204.2591386,212.1776231
Extensive reindustrialization - N1,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,59.8805837,92.27017828,131.2692905,138.8638581
Extensive reindustrialization - N1,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,8.65,11.8,15.1,16
Extensive reindustrialization - N1,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,5.7,5.9
Extensive reindustrialization - N1,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Extensive reindustrialization - N1,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Extensive reindustrialization - N1,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Extensive reindustrialization - N1,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Extensive reindustrialization - N1,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Extensive reindustrialization - N1,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Extensive reindustrialization - N1,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Extensive reindustrialization - N1,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Extensive reindustrialization - N2,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Extensive reindustrialization - N2,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Extensive reindustrialization - N2,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Extensive reindustrialization - N2,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Extensive reindustrialization - N2,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Extensive reindustrialization - N2,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Extensive reindustrialization - N2,FR,Consumption|Electricity|Import,TWh/year,2.035906643,2.902977413,11.85584608,24.31518072,39.44462651
Extensive reindustrialization - N2,FR,Production|Electricity|Export,TWh/year,58.73590664,78.30297741,45.65584608,42.31518072,68.64462651
Extensive reindustrialization - N2,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,605.5,678.1,781.4,792.9
Extensive reindustrialization - N2,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0.696544373,0,0,0
Extensive reindustrialization - N2,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,1.001282537,0,0,0
Extensive reindustrialization - N2,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,18.8502321,4.383553345,0.378338786,0
Extensive reindustrialization - N2,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.741360933,1.678807664,1.702524539,1.644166569
Extensive reindustrialization - N2,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.135638281,9.37147745,9.488736764,9.163488343
Extensive reindustrialization - N2,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,42.71210097,49.20025661,49.81586801,48.1083138
Extensive reindustrialization - N2,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,19.37264038,41.50385614,150.2950829,220.6836905
Extensive reindustrialization - N2,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,277.3987967,240.8156327,87.77459845,9.682314238
Extensive reindustrialization - N2,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Extensive reindustrialization - N2,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.48913455,9.14017506,9.269300267,8.95157354
Extensive reindustrialization - N2,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,46.58140497,88.9768062,134.0265151,135.9177697
Extensive reindustrialization - N2,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Extensive reindustrialization - N2,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,45.62365646,97.74391289,182.9268032,176.6565635
Extensive reindustrialization - N2,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,56.59423034,89.62967585,113.4070512,113.4474932
Extensive reindustrialization - N2,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,8.05,10.6,13.9,14.6
Extensive reindustrialization - N2,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0.3,0.6,1.7,1.6
Extensive reindustrialization - N2,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Extensive reindustrialization - N2,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Extensive reindustrialization - N2,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Extensive reindustrialization - N2,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Extensive reindustrialization - N2,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Extensive reindustrialization - N2,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Extensive reindustrialization - N2,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Extensive reindustrialization - N2,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Reference - M0,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Reference - M0,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Reference - M0,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Reference - M0,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Reference - M0,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Reference - M0,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Reference - M0,FR,Production|Electricity|Import,TWh/year,2.035906643,2.591119097,8.331281392,43.43347193,101.5727651
Reference - M0,FR,Consumption|Electricity|Export,TWh/year,58.73590664,69.8911191,90.03128139,56.13347193,131.2727651
Reference - M0,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,576.1,670.5,710.9,732.1
Reference - M0,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0,0,0,0
Reference - M0,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0.087868231,0,0,0
Reference - M0,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,25.65752356,3.809190696,0.460519432,0
Reference - M0,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.93310109,1.558305285,1.657869954,1.477242211
Reference - M0,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.828999888,8.69880639,9.254598501,8.246294299
Reference - M0,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,46.35224941,45.66873355,48.58664213,43.29304507
Reference - M0,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,0,0,0
Reference - M0,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,301.56377,170.7210012,0,0
Reference - M0,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Reference - M0,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.435350211,8.484106551,9.026180862,8.04276315
Reference - M0,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,37.16826187,138.0831627,234.4043908,220.9297796
Reference - M0,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,3.72261818,8.013038113,9.437936349
Reference - M0,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,16.16775457,104.4064541,205.852186,183.4242412
Reference - M0,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,60.01400202,95.31633992,137.5111023,125.975933
Reference - M0,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,2.8,13.3,17,17
Reference - M0,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,3.7,16,13.1
Reference - M0,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Reference - M0,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Reference - M0,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Reference - M0,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Reference - M0,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Reference - M0,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Reference - M0,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Reference - M0,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Reference - M1,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Reference - M1,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Reference - M1,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Reference - M1,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Reference - M1,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Reference - M1,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Reference - M1,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,11.26444169,37.36904145,62.46226252
Reference - M1,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,84.36444169,58.06904145,97.06226252
Reference - M1,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,584.3,653,704.5,745.6
Reference - M1,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0,0,0,0
Reference - M1,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0,0,0,0
Reference - M1,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,24.07447754,4.179863216,0.458787054,0
Reference - M1,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.905174482,1.567448706,1.651633393,1.565675868
Reference - M1,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.701451451,8.749846998,9.21978463,8.739950625
Reference - M1,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,45.68262012,45.93669674,48.40386931,45.88474078
Reference - M1,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,0,0,0
Reference - M1,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,305.6073066,214.1309093,83.22397153,8.872163254
Reference - M1,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Reference - M1,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.313488648,8.533887399,8.992226251,8.524235283
Reference - M1,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,36.63130935,131.3173694,233.8896399,271.4707992
Reference - M1,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,1.219126771,2.660964911,2.522477788
Reference - M1,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,15.93418657,67.74861629,149.014035,176.7474091
Reference - M1,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,59.14700777,85.2517935,108.9160465,124.2102856
Reference - M1,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,2.8,12.9,16.7,17.2
Reference - M1,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0.9,10.5,13.9
Reference - M1,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Reference - M1,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Reference - M1,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Reference - M1,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Reference - M1,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Reference - M1,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Reference - M1,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Reference - M1,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Reference - M23,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Reference - M23,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Reference - M23,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Reference - M23,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Reference - M23,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Reference - M23,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Reference - M23,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,8.059679767,30.72025932,58.5828201
Reference - M23,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,87.15967977,47.92025932,91.3828201
Reference - M23,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,584.3,656.5,688.2,721.5
Reference - M23,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0,0,0,0
Reference - M23,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0,0,0,0
Reference - M23,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,24.07447754,3.815837637,0.465184351,0
Reference - M23,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.905174482,1.561024488,1.674663664,1.572017912
Reference - M23,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.701451451,8.713985587,9.333458818,8.761379832
Reference - M23,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,45.68262012,45.74842433,49.00065879,45.99724412
Reference - M23,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,0,0,0
Reference - M23,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,305.6073066,210.5648587,84.75658875,8.55876419
Reference - M23,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Reference - M23,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.313488648,8.498911102,9.117613279,8.55876419
Reference - M23,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,36.63130935,89.75890806,142.3464114,160.3458271
Reference - M23,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,1.214130157,8.094207707,10.04344777
Reference - M23,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,15.93418657,104.6753643,200.3083815,238.1607137
Reference - M23,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,59.14700777,94.78887586,135.1825724,148.1190211
Reference - M23,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,2.8,12.9,15.5,16.3
Reference - M23,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,1.5,8.9,11.2
Reference - M23,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Reference - M23,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Reference - M23,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Reference - M23,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Reference - M23,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Reference - M23,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Reference - M23,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Reference - M23,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Reference - N1,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Reference - N1,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Reference - N1,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Reference - N1,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Reference - N1,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Reference - N1,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Reference - N1,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,6.908296943,31.97050243,61.08330632
Reference - N1,FR,Consumption|Electricity|Export,TWh/year,58.73590664,78.30297741,74.70829694,49.87050243,95.28330632
Reference - N1,FR,Production|Electricity|Total without production from flexibility,TWh/year,532.9,584.3,639.8,678.8,702.5
Reference - N1,FR,Production|Electricity|Conventional|Coal,TWh/year,1.423648995,0,0,0,0
Reference - N1,FR,Production|Electricity|Conventional|Fuel oil,TWh/year,2.04649543,0,0,0,0
Reference - N1,FR,Production|Electricity|Conventional|Natural gas,TWh/year,34.345532,24.07447754,4.151189441,0.463265688,0
Reference - N1,FR,Production|Electricity|Conventional|Waste,TWh/year,1.957517368,1.905174482,1.589817233,1.667756476,1.55585772
Reference - N1,FR,Production|Electricity|Hydro|Reservoir,TWh/year,7.687704572,8.701451451,8.874713086,9.309787259,8.685143542
Reference - N1,FR,Production|Electricity|Run-of-river hydro,TWh/year,40.36044901,45.68262012,46.5922437,48.87638311,45.59700359
Reference - N1,FR,Production|Electricity|Nuclear|Evolutionary Power Reactor,TWh/year,0,0,37.80232087,83.01721123,110.120152
Reference - N1,FR,Production|Electricity|Nuclear|Pressure water reactor,TWh/year,337.2268557,305.6073066,221.8678271,85.61149908,8.902963623
Reference - N1,FR,Production|Electricity|Nuclear|Small Modular Reactor,TWh/year,0,0,0,0,0
Reference - N1,FR,Production|Electricity|Renewable|Biomass,TWh/year,8.630872032,8.313488648,8.6556716,9.080007478,8.470780923
Reference - N1,FR,Production|Electricity|Renewable|Photovoltaic,TWh/year,10.32145521,36.63130935,86.02677693,133.7911306,147.0285546
Reference - N1,FR,Production|Electricity|Renewable|Sea,TWh/year,0,0,0,0,0
Reference - N1,FR,Production|Electricity|Renewable|Wind turbines|Offshore,TWh/year,0,15.93418657,65.53579926,148.4303263,161.8956395
Reference - N1,FR,Production|Electricity|Renewable|Wind turbines|Onshore,TWh/year,30.16356308,59.14700777,83.9953438,108.6821303,114.9605982
Reference - N1,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,5.5,2.8,12.2,15.1,16.1
Reference - N1,FR,Production|Electricity|Storage|Hydrogen,TWh/year,0,0,0,5.7,7.4
Reference - N1,FR,Production|Gaseous fuel|Biomethane,%,0.1,12,54,100,100
Reference - N1,FR,Production|Gaseous fuel|CNG,%,56.9,50.2,26.2,0,0
Reference - N1,FR,Production|Gaseous fuel|LNG,%,43,37.8,19.8,0,0
Reference - N1,FR,Production|Gaseous fuel|Low to high,%,1,1,1,1,1
Reference - N1,FR,Production|Liquid fuel|Diesel|Biodiesel,%,7,12,56,100,100
Reference - N1,FR,Production|Liquid fuel|Diesel|Diesel,%,93,88,44,0,0
Reference - N1,FR,Production|Liquid fuel|Petrol|Bioethanol,%,7,12,56,100,100
Reference - N1,FR,Production|Liquid fuel|Petrol|Petrol,%,93,88,44,0,0
Reference - N2,FR,Distribution losses|Electricity|Low to medium,TWh/year,1,0.973,0.973,0.973,0.973
Reference - N2,FR,Distribution losses|Gaseous fuel|Low to high,PJ/year,1,0.9975,0.9975,0.9975,0.9975
Reference - N2,FR,Transmission losses|Electricity|Medium to high,TWh/year,1,0.935,0.935,0.935,0.935
Reference - N2,FR,Efficiency|Electricity|Hydrogen|Fuel cell,%,50,58,62,64,65
Reference - N2,FR,Production|Electricity|Low to medium,TWh/year,1,1,1,1,1
Reference - N2,FR,Production|Electricity|Medium to high,TWh/year,1,1,1,1,1
Reference - N2,FR,Production|Electricity|Import,TWh/year,2.035906643,2.902977413,11.85584608,24.31518072,39.44462651
